repo,username,type,name,timestamp,additions,deletions,total,message,userURL,repoURL
active_merchant,External,-1,csaunders,2012-07-16T21:13:59Z,121,99,220,"Plug'n Pay gateway: Add tests for partial capture

Partial captures were not being completed through Plug'n Pay, and
initially it looked like a code change was needed to fix it (using
reauth). However, it turned out to be a configuration problem with the
account on the Plug'n Pay side, so this commit simply adds tests
specifically for partial capture.

Closes #410.",https://github.com/ntalbott,https://github.com/balanced/active_merchant
hubot,atmos,1,Corey Donohoe,2011-11-17T02:41:55Z,3,0,3,"Merge pull request #182 from ivey/patch-1

change XMPP adapter to also look for messages in the room when checking for self-messages",https://github.com/atmos,https://github.com/balanced/hubot
billy,victorlin,1,Victor Lin,2013-08-06T13:59:33Z,0,220,220,Clean old database code (refectory and add them back later),https://github.com/victorlin,https://github.com/balanced/billy
hubot,atmos,1,Corey Donohoe,2011-11-17T03:42:32Z,1,1,2,"Merge pull request #183 from occ/patch-1

IRC adapter compatibility with Nickservs",https://github.com/atmos,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-17T03:59:29Z,119,54,173,"Merge branch 'master' into core-cleanup

Conflicts:
    bin/hubot
    src/robot.coffee",https://github.com/atmos,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-19T12:12:55Z,20,24,44,update danger adapter,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-19T13:02:59Z,4,3,7,format this,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-19T13:03:55Z,23,20,43,Update test framework... ALL DOTS!,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-19T13:07:35Z,5,4,9,Add HUBOT_LIVE check back into test framework,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-19T14:16:27Z,137,186,323,Update adapters so they're ready to be moved out,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-20T15:29:18Z,78,66,144,Extract User and Brain into their own files,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-20T15:46:17Z,71,58,129,Consistent whitespace,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-20T16:19:08Z,165,143,308,Extra Adapter into it's own file and update adapters,https://github.com/tombell,https://github.com/balanced/hubot
balanced-ruby,External,-1,Josh Deeden,2012-06-10T20:08:31Z,61,154,215,Cleaning up base resource.  Fixing account specs.,https://github.com/gangster,https://github.com/balanced/balanced-ruby
hubot,atmos,1,Corey Donohoe,2011-11-20T20:58:46Z,1,1,2,"Merge pull request #184 from igorgue/patch-1

Added punctuation to the alias too.",https://github.com/atmos,https://github.com/balanced/hubot
active_merchant,External,-1,Nathaniel Talbott,2012-06-25T19:37:47Z,107,106,213,"Wirecard gateway: Fix for missing address hash

If the address has was not passed in, the gateway would throw an error
when attempting to pull the country information out of the non-existent
hash.

Fixed via a general cleanup of handling the options hash; previously,
the @options instance variable was overwritten with call specific
options. Now the @options is merged with the passed in options, and
the instance variable isn't ever touched.

Also did general formatting cleanup, and refactored how the request is
built.",https://github.com/ntalbott,https://github.com/balanced/active_merchant
hubot,tombell,1,Tom Bell,2011-11-22T16:58:52Z,26,18,44,Add initial logger calls replacing console.log,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-22T22:10:16Z,1,2,3,squish log level into new Log,https://github.com/tombell,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-22T22:47:16Z,26,18,44,"Merge pull request #188 from github/logging

Improved Logging",https://github.com/atmos,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-22T22:52:52Z,57,36,93,Update logging in Campfire adapter,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-22T22:54:19Z,58,38,96,Merge branch 'logging',https://github.com/tombell,https://github.com/balanced/hubot
active_merchant,External,-1,John Duff,2011-06-27T17:26:48Z,180,32,212,Merge pull request #144 from 'stripe/master',https://github.com/jduff,https://github.com/balanced/active_merchant
active_merchant,External,-1,John Duff,2012-07-06T14:35:53Z,104,107,211,Fix response parsing and clean up fraud checks,https://github.com/jduff,https://github.com/balanced/active_merchant
hubot,tombell,1,Tom Bell,2011-11-23T22:34:34Z,13,6,19,Update hubot-scripts loading,https://github.com/tombell,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-24T02:04:26Z,24,1,25,"Merge pull request #190 from iangreenleaf/the_rules

More better rules",https://github.com/atmos,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-24T02:04:50Z,15,0,15,"Merge pull request #191 from ejfinneran/xmpp-username-fix

If no name is given for the user, default to ID",https://github.com/atmos,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-24T14:53:44Z,40,19,59,Update shell.coffee with initial repl rewrite,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-24T16:10:05Z,7,17,24,Update repl prompt to work with async requests,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-24T16:15:15Z,30,19,49,"Merge pull request #192 from github/repl

Convert shell adapter into proper REPL",https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-24T18:31:48Z,16,0,16,Add send/reply functions to Robot,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-24T23:04:06Z,37,35,72,Update documentation for v2.0.0,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-25T10:27:47Z,4,0,4,Add details about log.js to README,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-25T11:18:42Z,1,1,2,Fix package.json extra comma,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-25T11:23:58Z,0,1,1,Remove unused variable from bin/hubot,https://github.com/tombell,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-25T19:02:25Z,2,2,4,release 2.0.2,https://github.com/atmos,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-25T19:34:27Z,2,2,4,make the generated package work again,https://github.com/atmos,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-25T19:52:58Z,2,2,4,whitespace cleanup,https://github.com/atmos,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-25T20:01:07Z,3,3,6,use absolute path for adapter loading,https://github.com/atmos,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-11-25T20:27:13Z,8,2,10,try reconnecting to campfire on a per room basis when streams close,https://github.com/atmos,https://github.com/balanced/hubot
balanced-dashboard,daliwali,1,Dali Zheng,2013-10-08T00:29:20Z,116,95,211,pass bank account & card tests,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
hubot,tombell,1,Tom Bell,2011-11-27T15:08:55Z,5,0,5,"Merge pull request #195 from whitman/shutdown-hubot

Add bot shutdown function",https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-27T18:52:52Z,0,412,412,Remove adapters with npm packages now,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-27T19:45:16Z,1,1,2,"Show error when failing to load adapter, closes #196",https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-29T09:18:49Z,3,1,4,Wrap SIGINT event in conditional so it runs on Win32,https://github.com/tombell,https://github.com/balanced/hubot
hubot,tombell,1,Tom Bell,2011-11-29T15:47:23Z,19,18,37,"Fix the usage of @robot.logger in Campfire adapter

Fixes #197",https://github.com/tombell,https://github.com/balanced/hubot
active_merchant,External,-1,Greg Brockman,2011-06-26T23:03:01Z,179,31,210,Stripe: Add separate auth/capture and partial linked refunds,https://github.com/gdb,https://github.com/balanced/active_merchant
hubot,tombell,1,Tom Bell,2011-11-30T16:36:29Z,4,1,5,"Merge pull request #198 from trumbitta/patch-1

Redis server is needed for hubot shell as stated in github/hubot/#42",https://github.com/tombell,https://github.com/balanced/hubot
hubot,atmos,1,Corey Donohoe,2011-12-01T02:05:37Z,9,3,12,do a 2.0.5 release,https://github.com/atmos,https://github.com/balanced/hubot
balanced-api,matthewfl,1,Matthew Francis-Landau,2013-08-01T19:09:30Z,48,162,210,"removing other formats, going with yaml scenarios",https://github.com/matthewfl,https://github.com/balanced/balanced-api
hubot,atmos,1,Corey Donohoe,2011-12-01T08:36:33Z,2,2,4,"Merge pull request #199 from DavidWittman/patch-1

Updated mustachify to generate a psuedorandom mustache.",https://github.com/atmos,https://github.com/balanced/hubot
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-08-20T01:30:03Z,193,17,210,Modals for holds,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
